abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
1,17.50366783,19.86075974,9.920032501,71.29582214,45.18019485,63.18669128,189.9021301,90.82988739,263.2658691,102.1212921,164.3719635,329.0067444,135.5779724,313.7232056,138.5935059,292.819397,206.8023682,546.2147827,345.7902832,461.568573,784.8760986,365.988678,794.3327637,282.8256836,687.5328369,184.3617401,496.2020874,49.69382858,112.477356,287.1271057,71.36972046,181.4238129,28.50427818,90.11278534,10.26288223,35.36635971,1.886522412,2.540562868,14.40523148,4.481873035,4.400570869,0.765683949,2.157477617
1.1,16.34508514,19.67810249,9.835570335,71.22396088,44.93956375,62.59880829,188.686264,90.52714539,261.7480164,101.6410065,157.6828156,313.2756958,129.4703979,295.708252,130.9003448,271.7684021,192.1682434,505.8018494,319.9758301,426.6138306,699.7490234,330.1928711,711.6187134,254.6339417,619.9695435,168.8670349,452.9244385,47.09915161,106.2272415,264.4700623,67.60464478,170.925415,27.45428848,84.32465363,10.15163136,37.792202,1.911784291,2.56493783,14.33186245,4.398376942,4.312681675,0.753949285,2.05330205
1.2,15.25290966,19.43148422,9.715826988,70.68370056,44.44580078,61.17254639,184.6602325,88.82610321,256.0192566,99.83379364,148.9487,296.0668945,122.6306381,277.1655579,122.8272476,252.2603607,178.4993286,468.1253052,296.5675049,396.9960938,637.8682251,303.2201233,651.6080933,234.4024506,570.7645264,156.86203,419.0996399,44.33676529,99.9736557,244.1196136,63.63805008,160.5295105,26.15117836,79.83602905,9.776754379,37.62434769,1.880551577,2.520017624,14.01582146,4.261648655,4.200786114,0.732429504,1.980391622
1.3,13.77676582,19.02540588,9.517189026,69.63957214,43.58280945,58.48114777,177.3609467,85.61073303,245.1960297,96.04442596,136.7716217,273.1138611,113.5071716,253.368988,112.3582382,227.9844513,161.3305359,421.9493713,267.68396,360.4352722,567.3718262,272.1123657,583.5336304,211.6878204,517.4210815,143.9802856,382.8494568,41.45174026,93.53015137,227.4225159,60.36606216,151.9321136,25.2701931,76.32655334,9.533011436,37.41891861,1.88925159,2.533628941,13.79382706,4.145981312,4.120688438,0.714492917,1.903188944
1.4,12.4280529,18.40256882,9.20877552,67.58885956,42.13931274,54.76387024,166.8754425,80.707901,229.7245941,90.41652679,123.8515244,249.1229706,103.7504959,229.5982971,101.7666245,205.3101501,145.2421875,379.5700073,241.2554626,326.1296692,507.8139343,244.0479889,521.3822632,189.9834137,461.6835022,129.1043854,343.6113281,37.05461884,83.65611267,201.8852386,54.12557983,136.4002686,22.74367714,69.36376953,8.56795311,32.61203003,1.764156103,2.376993656,12.8951683,3.859517813,3.945247889,0.671258569,1.820461035
1.5,10.58039665,17.09784698,8.56207943,63.09277344,39.15153503,48.18914413,149.2159271,72.3788147,204.4849548,80.82674408,106.4038773,215.9410248,90.08342743,196.8456879,87.27562714,173.9693451,123.0553284,320.0075378,203.8594208,277.2095947,424.7052917,205.8295746,441.3780212,161.7375793,394.0827637,111.2396164,297.9731445,32.27304077,73.13404846,176.1441345,47.8412056,122.0297318,20.36637878,62.76913452,7.638655663,27.66939926,1.648244739,2.227983236,11.99666214,3.551101208,3.795838594,0.624608636,1.695675611
1.6,8.952029228,15.43091583,7.731876373,57.12334442,35.33184433,41.38150406,130.2076111,63.28709793,177.7469482,70.5260849,91.37583923,184.6641846,77.16282654,167.1630859,74.17310333,147.3222504,104.1049271,270.6716309,172.6552734,235.7629089,358.5331726,173.7765808,370.3898926,135.6961365,327.6853027,92.85774231,248.0865173,26.58407402,60.3657608,143.5131683,39.20205307,100.5182953,16.6598053,52.39129257,6.196183205,20.98066521,1.380724549,1.87534678,9.708148956,2.832350969,3.225995302,0.486175925,1.327030301
1.7,6.758729458,12.50796986,6.271742821,46.55747604,28.66038132,31.84921074,102.369606,49.87440109,139.2772827,55.52182388,73.22437286,142.4117126,59.58554077,127.9752579,56.62192917,112.7023087,79.47111511,207.1042328,131.994812,181.8287964,277.172821,133.3409882,280.9692993,103.076622,246.3986816,69.7459259,183.5548859,19.44397736,44.36108017,105.7552185,28.84501266,73.68688965,12.25574017,38.81212234,4.596660614,15.20803928,1.011054635,1.385390162,6.625061989,1.954511404,2.251042604,0.325858772,0.819010913
1.8,4.691725254,9.057551384,4.541311264,33.63134384,20.66212845,22.25082397,71.99165344,35.10705185,98.09867096,39.19511795,53.60107422,99.70998383,41.83205795,88.91125488,39.40807724,77.99563599,55.05545425,142.7180176,91.06208038,126.4364548,187.9894409,90.82476044,189.9881439,69.28047943,161.5180206,45.83708191,118.6698608,12.32727814,28.20281601,64.08040619,17.63504219,45.02338409,7.459303379,24.29496384,2.723391771,8.820269585,0.597158968,0.831390858,3.763498068,1.110798001,1.263519049,0.180541739,0.431355864
1.9,2.287826777,4.583580494,2.300441742,17.18012428,10.51796818,11.81905937,36.49108887,17.90343666,50.10889816,20.11576462,28.74124146,50.85877228,21.32393265,44.91720581,19.96591187,40.01013947,28.20228386,73.62056732,46.84415817,65.61175537,99.70079041,48.19062805,101.2344131,37.40945053,87.4302063,24.9434967,62.57546616,6.641651154,15.27729416,35.05360031,9.617785454,24.34143257,4.088853359,13.11712551,1.497882485,4.877279282,0.325353891,0.461616427,1.970903397,0.576864839,0.59017086,0.094604872,0.222234562
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
