abs_diff_of_means,T-0.05C,T-0.10C,T-0.15C,T-0.20C,T-0.25C,T-0.40C,T-0.45C,T-0.50C,T-0.55C,T-0.60C,T-0.65C,T-0.70C,T-0.75C,T-0.80C,T-0.85C,T-0.90C,T-0.95C
data,7.6049771309,7.2875146866,6.7776761055,5.9438176155,5.1461520195,4.8209371567,3.7431573868,2.9758250713,2.4257879257,1.736407876,1.3022360802,1.3110052347,0.6525098085,0.766335845,0.5911259055,0.4653287232,0.2715109587
conv1_1,8.7390670776,8.4366769791,7.9357094765,7.0240149498,6.2389082909,5.3106575012,4.3585963249,3.3810431957,2.6895210743,1.9471074343,1.3779748678,1.5975143909,0.6903727055,1.0348178148,0.8199813366,0.6965844035,0.4187809825
relu1_1,4.4945044518,4.3418035507,4.0976271629,3.6412639618,3.2566072941,2.8226299286,2.3543806076,1.8433014154,1.4785263538,1.0826499462,0.7753213644,0.889334619,0.395452261,0.5745967031,0.4550892711,0.3841022849,0.2317451239
conv1_2,31.3628082275,30.4135494232,28.7341403961,25.64503479,23.0269107819,19.716594696,16.3255271912,12.7308826447,10.1778478622,7.4130744934,5.3006000519,6.0954489708,2.6815876961,3.9557125568,3.1473493576,2.6773133278,1.6087753773
relu1_2,19.748128891,19.1125926971,18.0518283844,16.1192893982,14.4915513992,12.4847536087,10.3903617859,8.1296072006,6.5282230377,4.7915358543,3.4628183842,3.9367003441,1.7788641453,2.5451653004,2.022875309,1.7083408833,1.0314275026
pool1,28.4403896332,27.4624042511,25.8101348877,22.9132804871,20.3410587311,16.8544979095,13.7647409439,10.6791219711,8.5017709732,6.2350139618,4.4673428535,5.2051644325,2.2957522869,3.4179918766,2.7298316956,2.3259220123,1.4006236792
conv2_1,89.3457260132,85.8582077026,80.6668395996,71.7428436279,63.5218963623,52.8023490906,42.5439147949,33.7866363525,27.3561553955,20.1862316132,14.8933973312,16.5115947723,7.6758747101,10.6828041077,8.423822403,7.1179113388,4.3202586174
relu2_1,43.5071258545,41.7149581909,39.3915786743,35.1119041443,31.5062503815,26.8605251312,23.2871818542,19.0283432007,15.8344182968,12.2647457123,9.301864624,10.272236824,5.0895762444,6.7023124695,5.2787361145,4.4001231194,2.7091794014
conv2_2,134.9192810059,128.8114624023,121.811630249,109.5677185059,98.6506576538,84.319519043,72.461265564,61.4881401062,53.0869522095,42.2551765442,33.9321212769,34.2969703674,19.515838623,21.5434494019,16.8303642273,13.3681812286,8.2130155563
relu2_2,50.5699043274,48.0641555786,45.5268592834,40.9270019531,36.9277229309,32.1550598145,28.2562503815,24.3249015808,21.2467498779,17.1305351257,13.8863573074,13.8508300781,7.9661698341,8.5890951157,6.6837182045,5.2780971527,3.2290151119
pool2,90.1649169922,85.9663619995,81.1069564819,72.9508056641,65.3851394653,55.982208252,47.8006515503,41.2314567566,35.9838829041,28.8472576141,23.5324935913,23.1786346436,13.5881547928,14.2847414017,11.0574350357,8.6363945007,5.314435482
conv3_1,204.7323608398,193.6302032471,181.3888702393,162.297668457,142.6118621826,116.8009872437,94.5135192871,80.4886932373,69.2430038452,54.5276031494,44.4541931152,44.2499160767,25.5673179626,28.0702476501,21.6728134155,17.3941612244,10.842921257
relu3_1,78.3423461914,74.0382080078,69.5469741821,62.3351364136,55.1351852417,46.6137733459,39.1273765564,33.6590614319,29.3586006165,23.7213134766,19.6466655731,19.5304698944,11.6537513733,12.4486818314,9.6098957062,7.6422481537,4.7365479469
conv3_2,214.6410217285,202.3992919922,189.2694091797,169.8059082031,149.2001190186,123.2472915649,98.9309539795,84.7836380005,73.5794677734,57.9978408813,48.3588256836,46.950843811,28.5428237915,30.3769207001,23.3086185455,18.6261482239,11.7605600357
relu3_2,98.6882171631,93.224067688,87.5436935425,79.1162490845,70.2630462646,58.7046279907,48.0410652161,41.9774703979,37.0504570007,29.8092498779,25.2711181641,24.1007022858,15.4278535843,15.4998826981,11.926574707,9.3051137924,5.8327488899
conv3_3,219.0348968506,207.9269714355,195.305557251,177.7023620605,158.6149139404,134.3476715088,112.4585876465,99.7302398682,89.3006591797,72.5848617554,62.6576843262,58.3243141174,39.8221664429,37.5311737061,28.7192001343,21.6901702881,13.5441112518
relu3_3,161.8566589355,154.1619262695,144.9282989502,132.0848236084,118.2451858521,100.1304779053,84.2341156006,74.7615966797,66.8926544189,54.2521781921,46.6812705994,43.3762321472,29.6074237823,27.7271652222,21.2632827759,15.9746751785,9.8922109604
conv3_4,359.2528991699,342.8964538574,324.1712646484,297.7629089355,270.3303527832,242.4828643799,214.1861877441,193.0309448242,176.0572967529,146.9088439941,129.5910186768,119.0968780518,85.9473571777,76.7410430908,59.0560722351,42.9850158691,26.444026947
relu3_4,229.2399139404,220.6889343262,209.4215087891,193.3594512939,176.8769073486,160.7149658203,141.7650604248,127.7068405151,115.9088287354,95.0893936157,82.9256286621,75.3459854126,53.4969749451,47.1771125793,35.8519172668,25.8027095795,15.8839073181
pool3,345.459777832,332.9790039063,314.4782104492,288.304473877,261.357421875,238.3141326904,206.8793487549,185.2998199463,166.6891937256,133.3088684082,114.1748046875,102.108757019,70.5094833374,62.1131019592,47.0800170898,34.0126037598,21.0323505402
