abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.603827953,7.897665024,3.89389658,25.02522659,15.62887669,21.31046677,64.61109924,27.22033501,87.93714905,34.85931015,60.96760559,109.8512039,47.07565308,117.5526733,51.30944061,117.7321014,88.47917175,205.5984955,129.9224396,219.9098816,462.1747742,236.8315277,557.1879272,189.878952,498.9504089,113.2542877,328.8038635,25.9502449,58.38608551,191.5345154,43.46192551,136.9292755,16.34072113,63.44534302,3.390843391,21.91879845,0.568851411,0.890961409,3.069214582,0.848573625,0.884334683,0.387126625,1.080999851
0.05,7.244685173,7.528139591,3.718696356,23.96110725,14.95150566,20.53042603,62.54643631,26.51838493,86.22942352,34.15797424,60.04933548,111.6913452,47.73929214,121.5493851,53.215271,124.7432327,94.82388306,215.391098,136.8886719,231.779541,486.6695557,250.1361542,588.0583496,198.2051239,527.8347168,118.0857773,356.1237183,26.61763763,59.7658844,198.960083,44.17314148,144.6944733,16.4922123,68.66851807,3.389293432,23.91076469,0.555952013,0.872987926,3.031248331,0.821282685,0.86168164,0.37536779,1.06699729
0.1,6.882473469,7.150734425,3.539539576,22.91258049,14.2957859,19.81709862,60.7140274,25.97890854,85.07997894,33.66971207,59.58463669,114.7606812,48.89268875,126.871994,55.63937759,132.7559509,101.7871475,227.0294037,144.4487915,244.6102142,513.1445923,264.429657,620.5039673,206.8095856,557.5232544,122.8954315,381.7991943,27.37247849,61.33847427,206.2458191,44.98449326,151.9645538,16.66423225,73.81715393,3.422784328,25.69756889,0.548827648,0.864511609,3.046942234,0.810404181,0.854504764,0.36883691,1.06709528
0.15,6.486959457,6.738831043,3.34459877,21.80276871,13.60681629,19.09540176,58.9210434,25.50872993,84.15325928,33.23995209,59.31477356,118.7198944,50.41164017,133.3908997,58.57390976,142.0541687,109.6665268,240.7608795,152.7562561,258.7666626,542.7684326,280.3779602,656.5541992,216.4204865,590.156311,128.1866608,408.8148193,28.21178436,63.11046219,214.6163483,45.99754715,160.083252,16.88328362,79.60848236,3.487741232,27.57974625,0.544655979,0.861523271,3.102245808,0.806736648,0.851494789,0.363834679,1.066710114
0.2,6.095975399,6.331206799,3.151243925,20.74067497,12.95108318,18.43114281,57.32060242,25.11997795,83.48097229,32.88731766,59.22887421,123.0319443,52.11946869,140.1553345,61.60187531,151.4819794,117.4685898,255.0341339,160.7842407,272.476532,572.0006104,296.0103149,692.2158813,226.1323395,622.4396973,133.4213562,434.3070068,29.03982544,64.91119385,223.3666229,47.11927032,168.4576263,17.15114403,85.48382568,3.579725027,29.4331646,0.544048607,0.863034546,3.194831371,0.810206294,0.853397965,0.361319423,1.072293043
0.25,5.704460144,5.925413132,2.958450556,19.72155571,12.32958221,17.81977272,55.85925674,24.7788887,82.971138,32.57206345,59.28642273,127.7215424,54.0164032,147.1413574,64.69971466,160.9091034,125.1014862,269.453125,168.5239716,285.7980042,600.7254639,311.178833,727.041748,235.9338074,653.8001709,138.7082825,458.486969,29.88173294,66.85414124,233.0749359,48.4348259,177.7274323,17.48766518,91.89820099,3.702351093,31.24346352,0.542905867,0.867536366,3.325020075,0.814517021,0.862584233,0.360874563,1.071939349
0.3,5.341112614,5.546532631,2.778221846,18.8068428,11.78264904,17.27509117,54.51489258,24.41013718,82.29296875,32.18216705,59.25579071,131.8538361,55.69015121,153.302948,67.36610413,168.8040466,131.3101044,281.5620117,174.5738525,296.090332,622.8950195,322.7450562,753.2057495,243.3991089,676.1486206,142.7393036,475.2049561,30.50611115,68.3371048,240.7922974,49.52655792,185.3803406,17.79909134,97.01789856,3.813833237,32.5918541,0.542302907,0.872959375,3.455318928,0.822079062,0.869480133,0.361953467,1.060136199
0.35,4.947179317,5.135118008,2.58282423,17.80667686,11.18643284,16.64029121,52.86032486,23.8344574,80.81150818,31.53954124,58.77446747,134.9774628,56.89297485,158.3486786,69.40736389,174.5590668,135.627594,289.5756531,178.0850677,301.3846741,633.1918335,327.8061523,761.958252,244.6269531,676.8591919,143.3792419,477.5672913,30.54258347,68.28176117,240.5501404,49.30289459,186.308609,17.6195488,98.20250702,3.835514069,32.76979065,0.539918303,0.867767394,3.422162056,0.8091923,0.851011574,0.352734447,1.020898581
0.4,4.545586109,4.717952251,2.385724545,16.71427345,10.53625107,15.84068871,50.47597122,22.87792015,77.79286194,30.25726509,57.03027344,134.7062531,56.74227905,159.0483704,69.42584229,175.432724,136.1744843,288.8482666,176.8070068,298.7023315,626.6721191,323.6652222,749.9263306,238.1991425,656.413208,139.7509613,466.3325806,29.7195282,66.14147186,230.7810059,47.25584412,178.8234558,16.76660728,94.5669632,3.694145679,31.34992981,0.509090602,0.821044743,3.181263447,0.743709505,0.783835769,0.314268768,0.891897321
0.45,4.154197216,4.312112331,2.194941044,15.54839993,9.834166527,14.89080334,47.33945465,21.56619644,73.36930847,28.43955803,54.12421799,129.619873,54.63440704,153.7414551,67.18809509,171.625473,133.7591858,280.9881287,172.1668854,291.9425049,611.8557129,316.1899719,733.1021118,231.3672943,642.6101074,136.1400146,460.9608459,28.75667572,63.92760468,224.5511475,45.4536171,173.9810638,15.92688084,92.57486725,3.546544313,30.31970978,0.463714987,0.758372068,3.101770401,0.685301363,0.736386538,0.283194542,0.772266686
0.5,3.785634518,3.930920124,2.014997482,14.3901844,9.124649048,13.87662888,43.93788528,20.15616608,68.51628876,26.5483799,50.83158875,122.3305588,51.56607819,145.641861,64.07639313,165.6555786,129.9879761,270.9481812,166.7835083,283.7855835,592.6436768,307.0563965,711.7304077,224.4967346,628.1671143,132.371109,454.3074646,27.75302696,61.672966,218.2651825,43.71456528,168.9112396,15.17587566,90.05106354,3.407627583,29.37400055,0.432898223,0.716732442,3.093640089,0.654791832,0.721240222,0.270699233,0.709949136
0.55,3.394703865,3.526086092,1.815236926,13.08030605,8.313750267,12.68559456,39.91675186,18.48133278,62.75014877,24.34132576,46.78765106,112.7865906,47.57212448,134.7809143,59.86648178,156.3562622,123.6285706,256.2877808,158.787262,270.7321167,562.4752197,292.2098083,676.3018799,213.8492126,600.5950317,126.4755859,437.7281189,26.36225891,58.50392532,207.6697693,41.38151932,160.7821655,14.28740597,85.57218933,3.226615429,27.98745346,0.405633122,0.675810337,2.971156359,0.615729809,0.691413403,0.254628122,0.655264378
