abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,227.2221222,106.4289703,52.48674774,220.0796356,156.7116394,182.7710114,391.353241,166.6101379,397.9404602,160.1703644,234.8671875,419.8016663,184.088562,439.3142395,181.7035675,395.5372009,276.5024414,696.6658325,410.411499,551.6121216,959.6374512,473.6536865,975.5384521,307.948761,612.1601563,145.6054077,269.7747192,36.25080872,72.33760071,163.5155029,43.01720047,92.95402527,16.27082634,44.95633698,6.330476761,20.01644897,0.775547862,1.347174168,4.929803371,1.672923684,1.727343917,0.470987201,1.100245595
0.05,217.1558228,101.7157974,50.45465851,209.6201935,149.3285217,173.7468872,373.113678,159.6057434,375.9643555,150.3151245,220.4923859,393.7177429,173.3869019,412.4515381,171.7646332,375.3634338,262.0809021,660.0968018,387.9550476,523.1290894,916.0185547,456.2734375,937.7069702,297.7709351,588.7055054,141.1985779,265.0315552,35.39437866,70.55384827,162.9452972,42.10739136,92.96393585,15.9285183,45.10980225,6.192826271,20.75127983,0.762088239,1.323810458,4.900066376,1.668637395,1.7676512,0.467528224,1.122776866
0.1,206.3834839,96.86688995,48.14071655,200.0177765,141.8855286,165.2798615,354.4775085,152.9642334,356.097168,141.4351959,207.9535828,366.2535095,162.6383362,383.7133789,162.8654327,356.9762573,251.3888702,629.8733521,372.3648682,503.0122681,882.4564819,442.3592224,904.0379639,287.9239807,563.9232178,137.5682983,266.5791321,34.75462723,69.46154785,163.9676361,41.42431641,93.95031738,15.64324093,45.3912735,6.081356049,21.57642174,0.752605379,1.307742834,4.860450745,1.657309294,1.803013325,0.466656864,1.137158513
0.15,194.6744843,91.22935486,45.76344299,190.0720062,134.4515228,156.6379395,335.7668152,147.0656891,336.0027771,132.2359619,195.2412567,339.1797791,152.2369843,354.6922913,154.688797,340.1990662,242.7273254,601.0402832,358.178894,485.8141785,855.1080933,430.6630249,877.6202393,278.7154541,545.1297607,134.0987854,273.5499573,34.18084717,68.57372284,166.4764709,40.84109116,95.64033508,15.37311935,45.92483902,5.976155281,22.63482094,0.742026031,1.289439082,4.845319748,1.650281429,1.839376092,0.465995789,1.156567097
0.2,182.9598541,85.54755402,43.28277969,180.6499939,127.1915436,148.396637,318.5927429,142.3029175,318.0124817,123.9303818,183.9415283,315.803009,143.1253052,328.3750305,148.0739441,326.6864624,236.9839783,577.0534058,347.5081787,474.0854492,838.1882935,422.5322571,862.3676758,271.1819153,534.3547363,131.1399841,285.5151367,33.74209595,67.99221039,169.975769,40.36213684,97.89134216,15.13786125,46.62969971,5.87647438,23.76999474,0.733721375,1.27314949,4.872110844,1.654300928,1.883723378,0.468152106,1.200672746
0.25,171.2380676,80.24107361,40.77991867,172.5026245,121.5484619,141.6312408,303.3508606,138.9178772,302.7549438,116.7958755,174.5270233,297.0468445,135.4810028,306.0057373,143.1838531,316.6748962,234.0331268,558.6133423,340.492218,467.9603882,830.7711792,417.7260742,856.8171387,265.1697083,530.4276123,128.6220703,299.6908569,33.41609192,67.57928467,173.3869934,39.94527435,99.84801483,14.93479919,47.03692627,5.778204441,24.73818588,0.725595593,1.25743258,4.902794361,1.659117699,1.927034974,0.470510006,1.26887691
0.3,160.410202,75.19848633,38.50870895,165.4208374,116.6499786,136.5959625,290.7894897,136.5556183,291.5206909,112.2196198,168.2569733,284.0471802,129.6751251,289.4160461,140.0212097,310.847229,233.5795593,546.4667358,336.7645874,466.6744995,829.9763794,415.3978882,858.0442505,260.9663086,531.1033325,126.6565552,313.2604065,33.19747925,67.29043579,175.9593506,39.59596634,101.0875702,14.76009083,46.93181992,5.669704914,25.3680191,0.712685823,1.23075676,4.938374996,1.661967874,1.960479975,0.468331426,1.355534434
0.35,148.6529236,69.58068848,36.06657028,158.5915527,112.0395203,131.5587158,278.6045837,135.2916718,281.4630432,108.0534286,162.7557373,275.3192444,125.0009384,278.2838135,138.4553986,308.6257324,235.5459442,538.7341919,335.2388,468.4884338,833.8224487,414.5759583,863.3538208,257.4032593,534.8047485,124.905632,325.0055847,32.96028137,66.88468933,176.9627838,39.15541458,100.9652786,14.53667831,46.04384613,5.537045956,25.48851204,0.689949334,1.190539718,4.937082291,1.645106912,1.991674066,0.46239382,1.452798843
0.4,136.9368591,64.00643921,33.57452393,152.5735626,107.5905533,127.2134476,267.6748657,135.0032043,272.5891724,104.5990982,158.4781494,271.8294373,121.9950943,275.4627075,138.97258,310.862854,239.6538544,536.6219482,335.3083496,471.6473083,841.010498,415.6095886,872.0628052,255.3529816,540.7419434,123.9656677,330.1462402,32.78406525,66.44332123,174.9498901,38.5911293,98.46865082,14.23416328,44.18696213,5.400439262,24.90616989,0.669420362,1.155845284,4.867539883,1.61755693,1.990401149,0.453671426,1.512166262
0.45,125.2163086,58.52312851,31.2254467,146.3867035,104.0463943,123.9688263,257.6948853,135.0617828,265.9946594,102.3348236,156.1984253,273.4742432,120.9773026,279.5834961,141.3349762,316.3783875,245.2679138,539.2766113,336.5774841,475.4633789,849.9711304,418.1051025,882.8126831,253.5164948,548.4226074,123.5929718,329.5175781,32.5122261,65.72925568,170.6684418,37.68002319,94.28069305,13.76252079,42.06417465,5.263744831,23.93040085,0.655965149,1.133978128,4.70286417,1.558872342,1.981217384,0.433814645,1.44265461
0.5,114.3744659,53.56420517,29.00804329,141.2312164,101.1131821,120.9891205,248.1530609,134.842514,260.7263184,100.5356522,155.0835724,277.936554,121.393219,286.7881165,144.4646301,322.4117432,250.6432343,544.2206421,338.7113342,479.9591064,859.1827393,421.1423035,893.0502319,251.7252502,556.5702515,123.4984283,328.5413513,32.13255692,64.96788025,167.595108,36.79416275,91.37372589,13.33129501,40.98575974,5.156650066,23.44771194,0.658171654,1.138255239,4.560114384,1.514880776,1.975380898,0.416311264,1.33366549
0.55,114.3744659,53.56420517,29.00804329,141.2312164,101.1131821,120.9891205,248.1530609,134.842514,260.7263184,100.5356522,155.0835724,277.936554,121.393219,286.7881165,144.4646301,322.4117432,250.6432343,544.2206421,338.7113342,479.9591064,859.1827393,421.1423035,893.0502319,251.7252502,556.5702515,123.4984283,328.5413513,32.13255692,64.96788025,167.595108,36.79416275,91.37372589,13.33129501,40.98575974,5.156650066,23.44771194,0.658171654,1.138255239,4.560114384,1.514880776,1.975380898,0.416311264,1.33366549
0.6,79.20888519,37.08367157,20.55565071,108.2371063,79.35237885,96.25273132,187.7852173,110.044136,213.3965302,81.32408142,132.1519775,252.9147797,106.7827225,261.8209839,129.9371948,291.6963501,228.1567688,487.9265747,304.8032837,441.8484192,774.8647461,375.886322,808.4786377,218.4953308,521.3831787,107.4238358,324.7629395,28.1588707,57.46805191,156.7419128,31.35407066,89.24545288,11.27165508,40.10757065,4.465204239,23.75180435,0.601620138,1.027166605,3.916664124,1.349291444,1.670843959,0.361732244,1.159997225
0.65,79.20888519,37.08367157,20.55565071,108.2371063,79.35237885,96.25273132,187.7852173,110.044136,213.3965302,81.32408142,132.1519775,252.9147797,106.7827225,261.8209839,129.9371948,291.6963501,228.1567688,487.9265747,304.8032837,441.8484192,774.8647461,375.886322,808.4786377,218.4953308,521.3831787,107.4238358,324.7629395,28.1588707,57.46805191,156.7419128,31.35407066,89.24545288,11.27165508,40.10757065,4.465204239,23.75180435,0.601620138,1.027166605,3.916664124,1.349291444,1.670843959,0.361732244,1.159997225
0.7,68.37045288,31.95480919,17.8324604,94.30592346,69.70832825,84.66636658,163.6890869,96.78661346,188.5522308,71.34989166,116.8739471,225.7268372,94.89122009,233.8522339,115.5577774,260.3343811,203.9947815,434.0441589,271.0092773,394.655304,686.5151367,334.0914917,719.6450806,192.897049,467.8937988,95.22206116,297.3158875,24.82581902,50.77278137,140.1437683,27.47226524,81.28633881,9.814445496,36.60043335,3.885900497,22.01278496,0.48555544,0.841471314,3.275372267,1.101195335,1.516428947,0.288605571,0.950135648
