abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,195.8127594,96.15324402,47.26555634,205.8441925,144.8161621,163.0829468,374.9919434,152.5077057,358.181427,139.5171814,199.0328369,252.6337738,114.1843872,227.4523621,104.1837769,215.7822723,163.3914032,424.0620117,238.996933,316.0752869,528.3768311,278.1018372,573.5377197,185.8437958,389.7527771,102.0104065,203.3838043,23.27148438,48.87966537,114.4592514,29.08510017,69.07118988,12.55980301,32.94011307,3.57231307,12.83042336,0.309606761,0.454987973,3.472984314,1.434737086,1.238806486,0.28806448,0.680999577
0.05,186.4636078,91.91724396,45.41378784,196.4424438,137.3979187,154.7430725,356.236084,144.9075928,339.526947,130.7784882,186.8454437,234.7248077,106.8481522,211.8795776,97.26004791,201.4064941,152.2594452,393.0970154,220.9084778,292.5688171,491.675293,262.9570007,544.704895,176.0216064,368.2317505,95.28477478,186.1466675,21.65793419,45.40800476,104.8506088,27.12644577,60.52580261,11.6280365,30.52931595,3.476603508,15.13751602,0.29736656,0.439375132,3.335104704,1.368913054,1.153202772,0.280445814,0.661112666
0.1,176.8099823,87.03784943,43.2653923,185.7482605,129.7574158,146.0758514,338.1392822,138.4729309,323.1156311,123.111496,176.599884,226.0335693,103.2052002,207.2843323,94.86775208,199.370163,151.1515045,384.1644287,216.8908234,289.8442383,493.6805115,263.7276306,551.2923584,172.8063965,370.5282898,92.14537048,185.5805359,20.80064583,43.70785904,101.4976273,26.21962166,57.36456299,11.13421345,30.47702026,3.471656084,17.62831116,0.290405512,0.429062009,3.306517839,1.344577193,1.135882616,0.277696937,0.653002799
0.15,167.1132813,82.42028046,41.12268448,176.4251862,122.7314072,138.7211609,321.7236633,133.7524261,309.2570496,116.2912369,168.2109833,225.5858612,102.8171997,211.5498657,96.2474823,207.2842407,157.7462006,390.7975159,222.3865051,302.3542786,526.0966187,276.6651001,588.9161377,175.3462982,394.124054,91.14097595,199.3717346,20.27797127,42.81282425,102.3639069,25.82521057,57.83986282,10.84477043,32.05410767,3.506029367,20.44427109,0.284778446,0.420519173,3.330381632,1.337049007,1.162782192,0.276712298,0.648121953
0.2,156.6388397,77.19042206,38.77828979,167.7077026,116.7636337,132.2007599,306.954834,130.8420868,297.2410583,109.9696503,160.9968719,231.7458801,105.0973969,222.8698578,100.8158188,222.9742126,170.2302704,408.2274475,233.5837708,324.7503967,580.4250488,298.804718,650.7870483,182.4312744,434.5743713,91.82692719,226.0757294,19.96051598,42.51264572,107.1627274,25.77332878,61.5381546,10.71957493,35.3360405,3.568219185,23.77477264,0.280028433,0.413672775,3.406406403,1.342516065,1.232948661,0.277391791,0.645684361
0.25,146.9304352,72.42436218,36.66734695,159.7824097,111.1079636,126.8947525,295.7372437,129.7441254,288.9115601,105.1790924,156.0381927,242.1827545,109.151619,238.3778687,107.2107544,242.5657349,185.5081329,432.4717407,247.8178406,351.5014648,644.5388184,325.8765564,723.4528809,192.5093689,483.4265747,94.13059235,259.1165466,19.96413612,42.92547226,114.9789429,26.08684921,67.46163177,10.80839443,39.4770813,3.642568111,26.94464493,0.277359545,0.409648031,3.523578882,1.360283256,1.323606968,0.280190676,0.646092117
0.3,137.2584839,67.7171936,34.43919373,153.2996521,106.8173294,123.1504974,286.0776062,129.8388214,283.8360901,101.955658,153.2245331,255.965683,114.6637726,257.4055786,114.9644241,265.3771667,203.0500641,461.9656067,264.8674011,382.5082397,716.6307373,356.9291382,804.0133667,204.6878204,538.1268921,97.52429199,296.6480713,20.14930725,43.75418472,125.0051804,26.62708855,75.04933929,11.04145145,44.19230652,3.722408295,30.0109024,0.277764976,0.410298437,3.678724051,1.389870524,1.424291968,0.287833452,0.649992049
0.35,127.6112595,62.89892578,32.33999634,148.4497528,103.3752518,120.4514313,278.8228149,131.1880951,281.7144165,100.550705,152.5854645,271.4782715,120.9837646,278.2481995,123.4299469,290.1784973,222.0190582,495.3293152,283.6101379,416.0092468,791.3322754,389.3683777,886.513855,217.8357391,594.1806641,101.6100693,335.499115,20.4335804,44.8391571,136.2586517,27.28708458,83.57041931,11.34718037,49.25722504,3.81119895,32.98944855,0.282460868,0.416995913,3.858973265,1.428095579,1.533506989,0.304110736,0.666591763
0.4,117.8453827,57.98452759,30.09162712,142.8143921,99.82080841,118.1747055,273.0535583,133.901413,281.7702026,100.0198898,153.7007446,291.6276245,129.1469269,304.1617126,133.919754,320.3666992,244.7571106,538.3390503,307.5105591,456.3641052,877.4506836,427.9137878,984.1194458,234.5353088,661.6333008,107.5699768,379.075531,21.10108948,46.74907303,149.0029144,28.32206154,92.93379211,11.81348801,54.43809891,3.934505224,35.91711044,0.291426182,0.42976585,4.094172478,1.494655013,1.66002655,0.336200505,0.714651167
0.45,108.1679459,53.27112579,27.99135971,138.4012451,97.06144714,116.934288,269.4545288,137.5303192,283.4926758,100.4256134,156.2989044,313.0848694,137.9081879,331.2506409,144.8707428,351.5816345,268.5003662,582.5457764,332.6503906,498.2668152,964.414917,466.7782288,1080.2323,251.5774536,726.5686646,113.7909164,421.6504211,21.81255531,48.74062347,161.9867096,29.38872147,102.406189,12.26471233,59.43822861,4.039983749,38.58901978,0.303039581,0.445659906,4.320312977,1.573851228,1.780065298,0.379235297,0.78168571
0.5,98.44967651,48.50578308,25.86976051,134.2476349,95.23278809,116.9231873,267.565918,142.0511475,287.4393005,101.9865875,161.4718781,340.4182739,149.0828552,365.8584595,159.1790771,390.8488464,298.4529724,638.1925049,365.7887573,551.9362793,1074.994629,516.3740845,1201.049561,274.8344116,808.6620483,122.7625275,473.9558411,23.0697155,51.92478561,178.5626221,31.1170845,114.1850891,12.94151497,64.92141724,4.195782661,41.29827118,0.320042133,0.469820738,4.563264847,1.68647182,1.892917871,0.43565616,0.857652426
0.55,88.02233887,43.33282852,23.42249107,127.8604584,90.55303955,112.7340164,253.661911,136.630249,265.038147,93.07907867,151.1450653,331.6950989,145.105545,361.1933899,157.6583099,393.0534973,301.7854309,635.8383179,364.9156494,554.9019775,1082.109497,518.4028931,1207.779053,272.2060852,814.3554077,120.6887589,482.635376,22.60967445,51.09817505,180.7624817,30.63331985,119.1486206,12.85190296,66.41378021,4.112242222,42.20381165,0.327751666,0.474975497,4.676194191,1.73475194,1.930590868,0.461896151,0.851279855
