abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,50.32230377,48.19784927,24.31182289,162.7826843,103.5775604,143.1044159,402.8311462,188.3483887,455.9872437,156.7992706,259.2947693,610.3997192,249.5223541,647.0032959,263.4404907,601.0900269,426.712677,996.9918823,585.8203735,903.4077148,1883.679565,857.8300171,1951.851685,481.8540039,1334.151123,226.6928558,711.121521,42.41559219,92.35308075,314.2723694,59.63557434,195.3484344,23.40723228,104.3411713,7.615737438,62.50534439,0.534609377,0.781843305,7.239234924,2.646654367,2.792282581,0.47681433,1.061621904
0.05,48.52770233,46.63537216,23.56599045,157.7953949,100.3471985,138.8638153,391.3235779,183.1402283,442.969696,152.499588,251.930603,593.0375366,242.807724,629.7072144,256.5126038,583.1386108,414.0863342,967.3754272,569.2388916,878.2074585,1833.185547,835.8474121,1896.360352,470.2415466,1293.282104,221.4927521,688.6469727,41.55487823,90.51933289,307.2082825,58.44791794,191.0643768,22.92771721,102.3321304,7.499308109,61.52635574,0.530153215,0.773254633,7.168673992,2.61865139,2.742625952,0.473575264,1.054342747
0.1,46.15957642,44.3939743,22.49693489,150.5711365,95.67376709,132.0835876,372.8742065,174.8559113,423.0081787,145.9203033,240.5133514,566.0863037,232.4106903,602.2797852,245.7294312,557.2960205,395.5206604,926.6661377,544.3889771,839.192749,1757.954712,802.3616333,1815.381226,452.5275879,1236.714966,213.0642548,654.6292114,39.98009109,86.84823608,294.2727051,56.22391129,182.6972809,22.05131149,97.95270538,7.229712486,58.71785736,0.514209211,0.748207688,6.918312073,2.539218664,2.624854565,0.46568948,1.035168648
0.15,43.57017136,41.88888931,21.30229378,142.5598297,90.49334717,124.4789352,352.1998901,165.6303253,400.9153442,138.6326752,227.8665161,536.1776123,220.9277802,571.5892334,233.7047729,528.7538452,374.9961243,881.9976196,516.9539185,795.9220581,1673.90979,764.9207764,1725.395752,432.7209778,1174.119385,203.6051941,616.7020264,38.20439148,82.67736816,279.6098633,53.70203781,173.2115021,21.0602684,92.91754913,6.919384003,55.4299469,0.495004445,0.718819618,6.620147705,2.446998358,2.489975929,0.456679344,1.013155222
0.2,40.96046066,39.37033081,20.10790253,134.6698608,85.38373566,116.9714508,331.6557617,156.5087128,379.1257324,131.5397339,215.5415497,506.7688904,209.7650146,541.6256104,222.0496216,501.1423035,355.2553406,838.7169189,490.4429932,754.2045898,1592.558716,728.9002075,1638.588623,413.7094727,1114.1427,194.502655,580.4874268,36.49488068,78.67606354,265.5506897,51.26905441,164.0837708,20.1094017,88.13008881,6.620790005,52.29005814,0.476501703,0.69015944,6.329962254,2.356940269,2.36085248,0.447855413,0.991726875
0.25,38.32345963,36.83974075,18.89659691,126.7311554,80.35771942,109.4546127,310.715332,147.329834,357.26651,124.4733658,203.2233276,477.3053284,198.6163483,511.5735779,210.574173,474.1590271,336.1740417,796.7280273,464.7849121,713.6315308,1512.797852,693.6447144,1553.625,395.1448364,1055.826538,185.632019,545.3157959,34.8286972,74.75811005,251.7637939,48.88566208,155.1814728,19.16974449,83.35238647,6.321763515,49.08388519,0.456402063,0.659832954,6.019243717,2.261481524,2.224438906,0.438430518,0.968848228
0.3,35.94666672,34.57284927,17.8115139,119.8269424,76.0270462,103.0284195,292.5993652,139.4671326,338.5010681,118.4956436,192.8479004,452.2626038,189.2169189,486.1962585,200.9380798,451.3970947,320.2627869,761.0449829,443.5249634,680.210083,1446.647949,664.6582642,1483.135864,379.9878845,1007.443726,178.5181122,516.9483643,33.51290894,71.69528961,240.9044952,47.00489426,148.2284546,18.44248581,79.76660919,6.087946892,46.6496315,0.441206187,0.636721492,5.78328228,2.187670708,2.11833334,0.430758566,0.95004493
0.35,33.3488121,32.05075073,16.60600471,112.0991592,71.20185089,95.79730988,272.2156067,130.7415161,317.7904053,111.939415,181.3985748,424.4395752,178.7629089,457.8298035,190.3894653,426.7102661,303.1700745,722.9294434,420.7987976,644.3630981,1374.991699,633.2491455,1406.874023,363.5417786,955.4338989,170.7465363,486.1592712,32.0658989,68.31002808,228.9245911,44.95563507,140.6058807,17.62718391,75.6578064,5.824929237,43.81430817,0.423259646,0.60974586,5.499209404,2.101397991,1.997443557,0.42204091,0.928381979
0.4,30.71629906,29.54593849,15.4066782,104.4670334,66.41698456,88.74364471,252.542923,122.4110947,298.0246277,105.7963562,170.7235565,398.3183899,168.9712677,431.3270874,180.64505,403.7755432,287.4962158,687.3513794,400.0440979,611.7932129,1309.303833,604.6878052,1337.162354,348.7838745,908.1185303,163.8691864,458.7663574,30.80547142,65.3784256,218.4666443,43.1468544,133.941391,16.92783546,72.21244049,5.59820509,41.421875,0.408393383,0.587445498,5.264800072,2.030106306,1.897343993,0.414550096,0.909655511
0.45,28.10383415,27.02980232,14.20460701,96.65007019,61.55089951,81.46420288,232.479599,114.0908966,278.4474182,99.79574585,160.2369385,372.631073,159.3436127,405.0509338,171.2145844,381.9526978,272.8356323,654.3035889,380.9162598,581.3473511,1247.290283,577.8546143,1271.610352,334.9510193,864.1859131,157.4196472,433.2839661,29.61551094,62.60210037,208.6452942,41.48091888,127.7579956,16.26333618,68.85453033,5.381221771,39.05297852,0.392366827,0.564003229,5.014401913,1.955969334,1.795476437,0.406297684,0.888518333
0.5,25.71107674,24.73954391,13.08584023,89.51169586,57.11546707,74.9168396,214.5398407,106.7975998,261.4423523,94.64463043,151.2453003,350.4918823,151.0426483,382.5476685,163.2470551,363.6132507,260.7147217,626.7548218,365.1700439,556.4083862,1195.815796,555.9042358,1217.538696,323.7481079,828.328125,152.2587738,412.9670715,28.65751266,60.38935089,200.8852386,40.17171097,122.9496994,15.74770069,66.31448364,5.21130228,37.21137238,0.380409032,0.546411097,4.827147961,1.900569677,1.719816804,0.399802715,0.871877968
0.55,23.06034851,22.16888046,11.80716419,80.99297333,51.84724808,67.21012115,193.5628204,98.56919861,242.581131,89.00624084,141.2128448,325.5747375,141.6712646,357.1216431,154.5779724,344.3416748,248.1737061,599.3778076,349.1242065,530.4481201,1140.541504,532.4606934,1159.409424,311.8929443,791.2194824,146.8812256,391.9346313,27.64644432,58.02632904,192.6056671,38.82141495,117.9586868,15.20883751,63.53229523,5.022105217,35.00291443,0.36477831,0.525240242,4.585265636,1.829267621,1.62658,0.391545832,0.849628627
0.6,20.47997093,19.67892456,10.55058575,72.36212158,46.53587723,59.89305115,174.1690521,91.29918671,225.8621979,84.08180237,132.5389557,304.7364807,133.4936676,335.6300354,147.0782013,327.6459351,237.572464,575.9842529,336.5848083,509.8309021,1095.530884,514.1304932,1111.627075,302.6795654,760.9557495,143.1971436,376.5787659,26.94053459,56.45469284,187.5164642,38.17986298,115.5852585,14.88992214,62.06652451,4.924751282,33.78762436,0.352627665,0.509184778,4.404571056,1.777411819,1.558794379,0.384196788,0.831001878
0.65,17.85164261,17.15443611,9.266897202,63.33951569,40.88170624,52.13982773,153.8426361,83.54156494,208.3581848,78.83436584,123.2965927,283.2149353,124.9372025,312.906311,139.2699738,310.7541504,226.9208984,553.9606934,324.3673096,488.9067688,1048.636841,495.4008179,1062.775879,293.3717346,731.5338135,139.5696411,361.651947,26.22599983,54.84741592,182.5796967,37.58420563,113.3849182,14.56476212,60.54029846,4.826992512,32.44152832,0.339328021,0.491990745,4.197075844,1.715960264,1.487629414,0.376356184,0.81499213
0.7,15.45978165,14.86651707,8.108324051,55.16697311,35.73286057,45.20563126,135.6524048,76.44813538,192.6779327,74.09442139,114.965744,263.8563538,117.1740646,292.3456116,132.211441,295.6728821,217.5209656,535.1366577,314.0150146,470.8545837,1007.451111,479.3859863,1019.987183,285.6123657,706.5637207,136.9007568,350.170929,25.69756508,53.70286942,179.4054108,37.30223083,112.4545822,14.33946133,59.70495987,4.774310589,31.63552284,0.330625802,0.481295109,4.049770832,1.669455051,1.439159393,0.370418876,0.8076002
0.75,12.87814903,12.35520935,6.819902897,46.11208725,29.98209381,37.55637741,115.3302002,68.06589508,174.5841064,68.51985168,105.1833649,241.2532654,108.1311417,267.800415,123.6814804,278.1208191,206.6685486,514.8374634,302.4997253,450.275116,959.4744263,461.2312927,971.3475952,277.0795593,679.2492065,134.3534698,338.9530334,25.17870522,52.57144928,176.6894531,37.1555481,112.0792313,14.10400391,58.92407608,4.733560562,30.88200951,0.321616411,0.471629113,3.898637295,1.619520187,1.39032495,0.3647331,0.807764053
0.8,10.24455929,9.848176956,5.518390656,37.08364868,24.26924706,30.01257515,94.68863678,58.8155098,154.5796204,62.06774139,94.12084198,216.5652466,98.09953308,240.4395142,113.853363,257.767334,193.5748901,490.6148682,287.3877258,423.9365845,899.7185669,438.5006409,912.3606567,266.1600647,645.8520508,130.7972565,324.1633606,24.45153618,50.99803543,172.4233093,36.6933136,110.7677994,13.75037479,57.67192459,4.669110298,29.98609734,0.312014401,0.460334152,3.744678497,1.56738019,1.344391942,0.360589057,0.817891479
