abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.598772526,7.895596027,3.971624851,25.72678185,16.0669136,21.48566818,69.47974396,32.59562302,104.903038,40.46458054,69.88072205,126.1952744,50.64828873,126.148735,56.60561752,139.7062988,99.01513672,266.9504089,174.6169128,260.3742065,482.2670593,243.4693298,572.9535522,198.7000885,462.7110291,120.5735779,297.7496948,35.14748001,78.99768829,219.1233826,45.4335556,130.4129486,19.29066467,78.52279663,6.755625248,47.04866791,0.809294581,1.069895387,8.594659805,2.327952385,2.903043032,0.388942182,1.212777853
0.05,7.291713238,7.594376564,3.828592062,24.7706852,15.45175457,20.65224266,66.94480133,31.49641228,101.6171494,39.33192062,67.85640717,121.8091736,49.19256592,121.7301102,54.46825027,133.8744812,94.42899323,255.8544769,166.6976013,247.47435,457.3173523,231.6667328,544.394104,188.7095795,437.3208618,113.877533,276.4359741,33.34201431,74.72940063,205.8347473,42.99397659,122.4706802,18.29042435,74.07265472,6.425709724,44.70569611,0.768065333,1.012383342,8.186897278,2.22791481,2.730367899,0.372943312,1.15924716
0.1,6.931241989,7.220414639,3.649486065,23.58401489,14.69929981,19.57661438,63.59864807,30.06556511,97.54782104,37.93959427,65.29225922,116.1938553,47.34841537,115.7109451,51.64707184,126.2423248,88.53742981,241.4619751,156.2889099,230.8507996,425.2827759,216.1817169,506.8300476,175.2867889,403.7633972,104.8091736,250.1800079,30.74097252,68.68503571,187.933548,39.4444313,111.0864563,16.7640686,67.88994598,5.940762043,41.52426529,0.722427547,0.950486481,7.74192667,2.114540577,2.55343318,0.352420717,1.094349384
0.15,6.534279346,6.805051327,3.450646877,22.29336548,13.88886452,18.43460464,60.02288818,28.55490685,93.33036041,36.52464294,62.73073959,110.8134232,45.62020874,109.9707413,48.89754486,118.4211502,82.48506927,225.9737091,144.9153595,212.8161316,389.4192505,198.7642059,464.1405029,159.7470856,365.7468567,94.44814301,221.0218048,27.69488907,61.62758255,167.1118317,35.22774506,97.46263885,14.9399786,60.28709793,5.33195734,37.25725555,0.663548708,0.873099089,7.128594398,1.969513655,2.282011986,0.327438295,1.003582358
0.2,6.144730568,6.399521351,3.256651163,21.06526756,13.12625027,17.38318825,56.6532402,27.14747047,89.42301178,35.23178101,60.42940903,106.3650665,44.23357391,105.3608322,46.64360428,111.5954666,77.20861816,211.9290314,134.3847351,196.1748199,355.2042542,182.1690674,423.0827637,144.5193939,329.6437988,84.61312103,193.795639,24.67229271,54.6374321,146.7052612,31.19412613,83.94625092,13.15346622,51.99768829,4.674934387,32.20893097,0.585594773,0.768923104,6.205801487,1.765532374,1.906205058,0.29504776,0.876818538
0.25,5.746073723,5.982009411,3.056528807,19.85396194,12.38872051,16.39387894,53.40988541,25.82007408,85.79972839,34.05896378,58.39174271,103.0197906,43.30138016,102.1160889,45.02501297,106.1113358,72.95088196,200.1524048,125.043808,181.3962402,323.6876221,166.9608002,384.8267822,130.081955,296.7703552,75.48784637,168.7838593,21.65711021,47.62733841,126.5438843,27.43089867,70.46315002,11.45726013,42.66575241,3.973465681,26.31812477,0.466321856,0.611835957,4.777398109,1.442521811,1.388890743,0.243987441,0.679425001
0.3,5.386140823,5.607859612,2.877316475,18.80545998,11.7619276,15.56869793,50.61931992,24.68810081,82.6149292,33.02370834,56.66246414,100.8804016,42.78053284,100.3719711,44.16259384,102.5980072,70.15019989,192.2034912,118.123642,170.5633545,300.1753845,155.7189331,356.597229,119.3488541,273.6813049,68.8848877,150.4970093,19.36532021,42.360672,111.138855,24.93412209,61.0872345,10.55154133,35.3518219,3.442467451,21.00860214,0.353222877,0.470575541,3.427290916,1.13454175,1.014823914,0.192901298,0.530085802
0.35,4.983557701,5.183754921,2.673362255,17.64708138,11.07207775,14.69927597,47.76099014,23.55402946,79.39935303,32.00511169,55.04645538,99.99081421,42.79916763,100.4145508,44.24631119,101.5392227,69.00814819,189.2675323,113.8795013,163.6405792,284.3805542,148.275589,338.177124,112.1783218,259.3622131,64.29668427,137.4567261,17.69724846,38.50616837,99.81955719,23.62411308,55.51513672,10.18470669,29.62436295,3.041089773,15.72148037,0.318527788,0.422948331,2.953778744,1.039741158,1.129165173,0.18494764,0.519804835
0.4,4.594846249,4.781247616,2.480360985,16.55786133,10.42477131,13.88632774,45.09802628,22.48164368,76.13162994,30.93408012,53.36012268,99.57871246,43.00263214,101.3210907,44.87838745,102.4847107,69.28688049,191.2630005,112.8484726,161.44664,278.8793945,145.6439972,332.1522522,109.5852966,254.8092346,62.39703369,132.5900421,16.92693138,36.71211243,95.00131226,23.30854416,54.47058487,10.20597839,27.07069588,2.969455719,12.61630821,0.362451762,0.479704142,3.642935038,1.21064055,1.544503689,0.220696628,0.629712105
0.45,4.195332527,4.361999035,2.2795434,15.43413925,9.753831863,13.08058167,42.5718956,21.45648384,72.88711548,29.8281498,51.68663406,99.52644348,43.43050385,102.9569778,46.02692413,105.7714615,71.26221466,199.0628662,115.4760666,164.3408661,283.1140747,147.4932251,336.0476379,110.4744263,256.8469238,62.22534561,134.676651,16.7293396,36.19123077,94.11190796,23.42810631,55.62249756,10.42593956,26.77591896,3.116476774,11.21646595,0.403768778,0.524345994,4.410067081,1.445441723,1.869505048,0.267524868,0.736444473
0.5,3.837053537,3.990583181,2.097857714,14.41007137,9.130231857,12.34142685,40.17890167,20.42247963,69.31787109,28.5077858,49.63990784,98.03057098,43.06838989,102.5181732,46.26917648,107.5512619,72.35243225,204.1739807,117.106926,166.0366058,286.2409973,148.3843536,337.9237366,110.8963623,258.0310669,62.11076355,137.1855621,16.56259155,35.67551041,93.63506317,23.45008087,56.64011765,10.57390881,27.44413376,3.284904718,11.01928425,0.429392397,0.553391993,4.876662731,1.606358647,2.021669149,0.29832831,0.792485893
0.55,3.445152998,3.584102631,1.8920964,13.1528368,8.344364166,11.35778046,36.88564682,18.82467461,63.45858765,26.20042229,45.82827377,92.01745605,40.31184769,95.70466614,43.4838562,101.9085693,68.71061707,194.0383301,111.6225357,157.6382599,274.0092468,140.4618683,319.2182312,104.5680695,244.293045,58.80800247,131.0448761,15.5693531,33.39037704,89.31781769,22.59177017,54.96434021,10.26357269,26.99650192,3.288247347,11.14347458,0.439492583,0.563879728,5.099672794,1.684453249,2.085121393,0.310873389,0.803093553
0.6,3.048429489,3.170787334,1.679988623,11.72391415,7.469212055,10.22380066,33.10795212,16.9172821,56.58839798,23.3953228,41.03475952,82.77437592,35.84090424,84.73782349,38.65186691,91.13252258,61.752491,172.8721313,101.293457,142.6875,252.7799377,126.9540634,286.2640381,93.63593292,219.9845276,53.25166321,118.1122284,14.08250237,30.1189785,82.3161087,21.08641243,50.96369171,9.542890549,25.30470276,3.130991936,11.25871658,0.434652537,0.557246804,5.030936241,1.657449484,2.055742025,0.301811129,0.776586115
0.65,2.656489134,2.764993429,1.468288779,10.27489567,6.585926056,9.057114601,29.22774315,14.96669197,49.73146057,20.51247406,36.06894302,72.75347137,31.08248711,73.93894196,33.78490067,80.59991455,54.7652359,152.6691742,90.87404633,127.6576462,232.287262,113.4214401,251.6678467,82.10092163,193.6165314,47.03449249,103.3050385,12.43822765,26.55582809,73.75777435,19.04460526,45.56334686,8.517649651,22.87706566,2.868127346,11.10767841,0.411656559,0.529760957,4.668536186,1.526565194,1.913916707,0.272224694,0.716175139
0.7,2.288803339,2.38011694,1.268382072,8.876256943,5.719880581,7.892136574,25.42259789,13.05710602,43.30590439,17.75496483,31.30805969,62.85021591,26.50437927,64.1304245,29.35716248,71.29914856,48.40509033,135.8628693,81.32255554,114.2198029,212.8036957,101.2344513,220.8248901,71.78608704,169.8998718,41.06666565,89.09437561,10.85160446,23.19519997,64.46409607,16.56136894,39.09078598,7.255541801,19.84895134,2.523577929,10.59734821,0.361588031,0.469934255,3.969749212,1.281569958,1.61640358,0.219692186,0.596877515
