abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.603827953,7.896842957,3.925354004,25.35785866,15.803195,21.58706856,65.06023407,27.67468834,87.46641541,34.83259583,60.78308487,110.4327545,47.64933395,115.4724731,51.01816559,118.946106,88.2710495,210.1958771,131.5589905,223.3261261,486.0366211,244.6938782,572.0237427,192.5251923,502.9421387,113.0127182,319.9960632,25.11402893,56.44389725,192.1257935,43.68636322,136.4043274,16.07200241,65.86093903,3.726233244,23.75404549,0.541295707,0.840138316,2.994264603,0.868414521,0.902569056,0.414774209,1.058067918
0.05,7.244685173,7.529748917,3.749804974,24.28492737,15.12177372,20.79129028,62.91131592,26.90192032,85.51933289,34.03325272,59.65231323,111.6725845,48.16822815,118.6678085,52.6602478,125.4529953,94.43937683,219.9757233,138.6088562,235.132019,507.3501282,256.7129517,600.6147461,199.9523315,529.4724121,117.5754929,348.4334412,25.63140297,57.52996445,198.9286041,44.16759491,143.7962952,16.13090897,70.79551697,3.685662031,25.85446739,0.519980192,0.80982393,2.898777485,0.836858809,0.860758185,0.402830124,1.033129573
0.1,6.882473469,7.152489662,3.569239616,23.21974564,14.45669651,20.06039429,60.983181,26.29892731,84.10387421,33.442379,58.97233582,114.2111206,49.22213745,123.3519745,54.92332458,133.0930786,101.3775101,231.822998,146.4550171,248.1186371,531.4983521,269.9729614,631.3609619,207.9186096,557.3685303,122.2709274,375.5073242,26.25852013,58.84802628,205.6294708,44.78053665,150.7441254,16.23585892,75.60876465,3.678721428,27.68942833,0.503541231,0.788842022,2.854576111,0.816342413,0.839368463,0.393488795,1.016475439
0.15,6.486959457,6.739855766,3.372401237,22.09121895,13.75585938,19.33587265,59.08269882,25.75821114,82.88861084,32.90765381,58.47607803,117.6122742,50.61346436,129.284256,57.71772385,141.8997192,109.1928177,245.7262268,155.1598206,262.5241699,558.4430542,284.7451477,665.4301147,216.7279358,587.987793,127.3892899,404.2094116,26.94143105,60.28139877,213.1503448,45.5499382,158.4182892,16.40301132,80.91387939,3.691505194,29.61812401,0.488362521,0.77095294,2.847361088,0.799619079,0.823393643,0.384247094,0.993481159
0.2,6.095975399,6.33263588,3.177624702,21.01136971,13.08635139,18.68660736,57.38555908,25.3039608,81.95819855,32.45635223,58.17686844,121.2219772,52.09441376,135.4024811,60.55443192,150.6703186,116.8445435,259.7407532,163.4163055,276.2038879,584.3571167,299.0585632,698.515625,225.3508453,617.9434204,132.343277,431.6802368,27.57497406,61.64152527,220.8388062,46.39696121,166.1788635,16.61265182,86.10873413,3.722979784,31.52590942,0.476835489,0.757559299,2.882102251,0.788806021,0.813328326,0.376079828,0.957555175
0.25,5.704460144,5.926278114,2.982925177,19.97640038,12.45072937,18.09367371,55.83152771,24.8988533,81.25884247,32.05734634,58.03120041,124.9435959,53.6230278,141.5048218,63.38204193,159.3559113,124.3185272,273.4479065,171.1473389,289.0231323,608.890686,312.6507568,729.5466919,233.4605255,645.7937012,137.003479,457.6017761,28.12567329,62.88181686,228.8174896,47.31326675,174.3667145,16.84915543,91.54335022,3.780730963,33.43716431,0.465479702,0.743052721,2.960448742,0.782078922,0.810249627,0.368983239,0.916492581
0.3,5.341112614,5.548145294,2.802095413,19.05258179,11.88941097,17.55480957,54.41298294,24.48737907,80.52264404,31.61697578,57.82698059,128.2802429,54.94724655,146.8242645,65.8373642,166.9344635,130.7341766,285.4230957,177.5225677,299.5856934,629.3530884,324.0103455,754.9029541,240.3751526,667.9971924,140.9836884,478.8000488,28.58686256,63.97909546,236.5414886,48.28910065,182.2723236,17.12501907,96.63938904,3.866983891,35.12375259,0.458497971,0.735537231,3.086609125,0.789564252,0.81869185,0.367218286,0.879780829
0.35,4.947179317,5.136038303,2.605088949,18.03884506,11.27442932,16.91505623,52.73749542,23.8893795,79.17060852,30.9283371,57.38855362,131.1696167,55.99791718,151.8130188,68.09773254,173.7931824,136.3674164,295.9462585,182.7257233,308.0279236,645.7651978,333.0013123,773.4327393,245.4324036,681.704895,144.2220306,493.9377441,29.00707817,65.01218414,243.5727081,49.26593399,189.7939606,17.40652084,101.4309235,3.969354391,36.37902451,0.451725245,0.731668949,3.242235661,0.809620678,0.832873166,0.370481074,0.859192729
0.4,4.545586109,4.719087124,2.407128334,16.93308258,10.61510277,16.1056366,50.41479492,22.91430664,76.37531281,29.74626732,55.97402191,131.7664032,55.98481369,154.0887299,69.0328064,176.8149719,138.7507324,298.8052979,183.3885956,308.3816528,644.7929688,332.4537964,767.9559937,241.8939667,669.187439,142.6920013,489.9300842,28.65772438,64.07789612,239.3645172,48.37216949,188.0278625,17.02862167,101.1037369,3.931966305,36.03753662,0.44301495,0.722370386,3.215590239,0.796861053,0.820723712,0.363233775,0.821331143
0.45,4.154197216,4.313224792,2.214731932,15.74380207,9.904932022,15.11953449,47.35029602,21.66975975,72.60217285,28.15608025,53.59160614,128.4671936,54.4105835,151.1695251,67.74177551,174.4901581,137.0464325,292.2126465,179.2121735,300.8425293,627.9550171,323.5972595,745.868042,232.3234863,642.833374,137.4502869,474.0982056,27.54080582,61.2817688,226.5323639,45.6483078,177.454483,15.95713043,95.70314789,3.706274509,34.08883667,0.410044611,0.676827788,2.999492645,0.720744193,0.761290967,0.323860854,0.713102579
