abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.511878014,7.786338806,3.903207779,26.49755859,16.38450241,23.67607498,71.54332733,31.50936699,95.26182556,35.76526642,66.01728058,145.3811951,58.06848907,157.559021,67.93264771,156.6956787,114.0891037,247.513855,123.4356689,201.9712982,423.515625,219.9467926,492.9174805,161.2460327,367.973938,94.43235779,241.3232269,20.449543,45.44641876,145.5706482,35.43811417,106.364975,13.47985363,65.94068909,3.434078217,24.27219772,0.421518534,0.63768965,3.037954092,1.064568996,1.069331765,0.350925416,0.800040364
0.05,7.226263523,7.49878788,3.764621019,25.55739594,15.76981926,22.81305885,68.92627716,30.31834412,91.46189117,34.32705688,63.30506516,138.9242096,55.49894714,150.3004456,64.53447723,148.2727966,107.4793549,233.8701782,116.4584885,190.2232513,395.7080688,205.7719269,461.5097351,151.4378357,341.5397339,87.70507813,217.0285339,19.21196556,42.76825714,135.0728302,33.15705109,97.47271729,12.62252235,60.57987213,3.209002018,22.31851196,0.393970519,0.596489131,2.796699762,0.998582542,0.984412491,0.336762369,0.762700081
0.1,6.862384319,7.119906902,3.583061934,24.26675606,14.93798828,21.54576874,65.09720612,28.60731316,86.17731476,32.37865829,59.62927628,129.7626801,51.94513702,140.2595062,60.20442963,137.7425537,99.56745911,217.971756,108.6578445,177.3204651,368.4454041,191.9966125,432.0435181,143.7811432,320.1204529,82.57083893,196.1425018,18.27409554,40.74187469,126.5345383,31.3925972,89.95015717,11.89026356,55.64647293,3.042113543,20.64832497,0.374591202,0.567582786,2.636049986,0.954863429,0.927299559,0.326810509,0.73534584
0.15,6.468491077,6.711236477,3.387540817,22.88289261,14.05190945,20.19319725,60.99852371,26.78806305,80.57675934,30.3203373,55.75205231,120.0654297,48.18811798,129.6550293,55.65581512,126.7463455,91.3364563,201.4107208,100.6601791,164.1808167,340.6231689,177.9092407,402.4096069,136.1330261,299.9438477,77.49782562,175.7089386,17.31633568,38.66776657,117.9296494,29.58452797,82.16096497,11.12695026,50.46163559,2.869491339,18.90997505,0.354590505,0.538265765,2.478975296,0.910553515,0.871774435,0.316576868,0.709698021
0.2,6.083187103,6.310321331,3.195740938,21.54661179,13.20085144,18.91669655,57.08762741,25.07020569,75.25313568,28.35830307,52.08425522,110.948143,44.66496277,119.6789322,51.37612915,116.4491501,83.63538361,185.8572693,93.2742157,152.1977844,314.5361938,164.643219,374.6846313,128.7857208,282.4332275,72.80825806,157.7467041,16.39309311,36.66889954,109.9764404,27.86347008,74.7768631,10.39433384,45.46547318,2.698146343,17.19339752,0.335271746,0.510448515,2.332778692,0.868006825,0.820233107,0.306718767,0.689312994
0.25,5.687280655,5.898913383,2.998906136,20.1932354,12.34708786,17.63351059,53.12912369,23.34937096,69.93545532,26.4133606,48.44627762,101.8724594,41.16168594,109.778656,47.19390869,106.441864,76.21294403,170.8379974,86.30062103,141.0054474,290.4523621,152.4360657,349.8182373,122.2859726,268.8108215,68.72858429,142.895813,15.55411911,34.84761047,102.9172974,26.2797184,67.89818573,9.707917213,40.68670654,2.53907299,15.57012653,0.317739964,0.48510766,2.205067158,0.83065474,0.775428116,0.298342884,0.674134135
0.3,5.323022842,5.520657063,2.81818676,18.98332787,11.59731388,16.50660515,49.57390594,21.82576752,65.22052765,24.70583534,45.26628113,93.91975403,38.0919838,101.1003647,43.54236221,97.73529053,69.7767868,157.8085785,80.35424042,131.5777893,270.0326843,142.1184235,329.2123718,116.7575302,259.072937,65.38834381,132.1611481,14.84168434,33.30356598,97.16442108,24.91676712,62.08586884,9.119570732,36.5312233,2.397760868,14.1354866,0.303033113,0.463798404,2.098441839,0.798387825,0.737796247,0.290925235,0.663641453
0.35,4.928053379,5.110572815,2.62202692,17.6899929,10.80377865,15.31739998,45.83394623,20.24706268,60.32485962,22.94770432,41.9969101,85.72818756,34.92581177,92.13056183,39.80575562,88.92155457,63.29839325,144.6919708,74.44919586,122.2624435,250.2586365,132.2007599,309.8035889,111.4414825,251.5854645,62.23595428,123.7834625,14.14706993,31.78396606,91.73692322,23.5538063,56.35268021,8.528390884,32.31984711,2.252016306,12.64174366,0.288163096,0.442705035,1.991321921,0.764505684,0.700784445,0.282425404,0.652670145
0.4,4.535136223,4.701878548,2.426315546,16.40890503,10.02398682,14.16100597,42.23223114,18.75241852,55.67227173,21.28875351,38.92329025,78.06996155,31.96676254,83.73119354,36.33663177,80.80149078,57.36930847,132.5912323,69.11038208,113.9574127,232.6556091,123.4201813,292.6669006,106.5390244,246.4395294,59.47798157,118.6521454,13.53525829,30.44727135,87.18319702,22.33642578,51.40570068,8.000099182,28.5368557,2.117156982,11.24567032,0.274371564,0.424109131,1.892768264,0.731014311,0.666782796,0.273544401,0.640953481
0.45,4.142817497,4.295752525,2.233234882,15.13533401,9.25935936,13.03817081,38.73810196,17.32911682,51.26852798,19.72632599,36.03079224,70.93936157,29.18652153,75.8568573,33.14474487,73.39496613,52.001297,121.706192,64.39055634,106.716301,217.5583954,115.9522858,278.0808411,102.2324829,243.3501892,57.14770889,116.4038696,13.01727581,29.3152256,83.44800568,21.27888298,47.38204193,7.540225983,25.31870842,1.997860909,10.01370907,0.261838436,0.407048762,1.806491852,0.699644506,0.638451517,0.265368044,0.631345332
0.5,3.779097557,3.918603897,2.051399708,13.95189953,8.556497574,12.01826859,35.60662079,16.06189156,47.36463165,18.34367371,33.46862793,64.80059052,26.77276039,69.0484848,30.40692329,67.13005066,47.46018982,112.5371475,60.45372391,100.71492,205.2301025,109.8079147,265.5799561,98.37483978,241.0283813,55.09194565,115.9502869,12.57105827,28.33248138,80.32462311,20.34104538,44.18717957,7.141730309,22.65341568,1.890935421,8.945427895,0.249613389,0.389857143,1.722743154,0.66874063,0.613730013,0.256781936,0.623097777
0.55,3.385662556,3.512494087,1.847320914,12.6536541,7.777492046,10.91633415,32.23023605,14.70230293,43.1968689,16.86249924,30.73031616,58.53458786,24.28055954,62.10346222,27.65119934,60.97404099,43.01068115,103.6951752,56.66611862,95.01074219,193.8296814,104.1025391,253.4321136,94.48835754,239.338562,53.07911301,116.9500351,12.12251091,27.32746887,77.27404785,19.36136627,41.295681,6.729815006,20.03573418,1.779251695,7.866791248,0.235289007,0.370074183,1.626190543,0.633063674,0.585614324,0.24535352,0.609228909
0.6,2.992964745,3.10535717,1.639616251,11.25401592,6.949273586,9.760592461,28.79345703,13.31777763,39.09658432,15.37063313,27.98913765,52.7645874,21.94395256,55.77632141,25.10807991,55.44100952,39.01279449,95.71189117,53.12244797,89.59267426,182.8805389,98.49154663,240.1998596,89.94570923,234.7869568,50.61492157,117.355072,11.56527424,26.07237053,73.81447601,18.25646973,38.771698,6.302380562,17.76576042,1.664468288,6.866629601,0.218712941,0.346767128,1.506215692,0.5881477,0.549209595,0.229518443,0.583152175
0.65,2.601402998,2.70075202,1.428658128,9.812763214,6.091935158,8.579092026,25.30164909,11.89034843,34.92555618,13.81824684,25.16450882,47.07456207,19.61413765,49.59841537,22.64629555,50.3390274,35.39984131,88.38912964,49.7218895,84.21417236,172.1825562,92.90162659,226.2791748,84.89868927,227.004364,47.7548027,116.216217,10.89879894,24.5591526,69.70347595,16.96840096,36.39583969,5.832053661,15.78660393,1.538829923,5.939734459,0.199163631,0.318260193,1.357074499,0.532491624,0.503661156,0.208800673,0.547201455
0.7,2.233856916,2.319140911,1.229655266,8.441098213,5.264117718,7.44711256,22.02396584,10.5020256,30.85345078,12.26755428,22.36676979,41.72123718,17.42232132,43.86140823,20.32888794,45.77028275,32.21772766,81.69944763,46.34857178,78.64306641,160.9238739,86.9185257,210.8610077,79.18830109,214.7541504,44.29407501,112.3892365,10.08332253,22.71450233,64.5096283,15.44903946,33.87693787,5.294057846,14.07244778,1.403687716,5.118394375,0.178102106,0.286002904,1.18888247,0.471360236,0.451414108,0.184344307,0.492790252
0.75,1.839345455,1.912628531,1.016848207,6.964118004,4.362649441,6.203464508,18.39223862,8.904819489,26.16900444,10.48736191,19.11317825,35.63388062,14.94625378,37.61947632,17.76584435,40.97161865,28.92810249,74.56629944,42.37527466,71.88309479,146.7680511,79.40694427,191.5505829,71.93434143,196.3054657,39.77178955,105.2376022,9.011556625,20.27508354,57.68435669,13.54706192,30.85055923,4.62456131,12.45147038,1.238479972,4.314494133,0.155900121,0.25053525,1.00039053,0.402005315,0.392256737,0.153265446,0.40976876
0.8,1.44985652,1.509861946,0.804564476,5.491003036,3.458478689,4.939731121,14.68377018,7.194586277,21.13568497,8.561644554,15.57410526,29.27819061,12.37529182,31.28253365,15.02581406,35.87587357,25.48934746,66.59081268,37.5160675,63.3658638,128.3140411,69.61698914,166.0036469,62.24220276,168.7689209,33.83333969,93.0357132,7.630353451,17.12732315,49.09480667,11.29889584,27.10009766,3.83499217,10.92393398,1.059519768,3.578351021,0.137289703,0.219328478,0.856210172,0.355028868,0.361673832,0.127117917,0.329505473
0.85,1.05632174,1.105152011,0.590512753,4.006018639,2.534994364,3.632103682,10.83419514,5.370324135,15.82170773,6.517241955,11.79345417,22.55610657,9.615105629,24.64398003,12.06324577,29.91777992,21.51701927,57.04803467,31.566576,52.87083435,105.6868591,57.73077774,135.8383026,50.68412018,135.406723,27.07673454,76.83859253,6.048130512,13.55017757,39.54526901,8.943676949,22.72443771,3.06799221,9.441338539,0.893010497,2.996550798,0.129089251,0.202868789,0.837830305,0.349645764,0.382565022,0.117807448,0.288974017
0.9,0.692621946,0.731847167,0.392826468,2.635674238,1.673292875,2.390990973,7.172763348,3.590207577,10.65063858,4.488274574,8.073251724,15.84364319,6.796060562,17.78654671,8.87166214,22.64377975,16.57832146,44.70553589,24.18223381,40.0375824,79.03609467,43.69921875,101.3821716,37.66025162,98.11178589,19.94183159,57.50192261,4.411724567,9.889473915,29.9632988,6.73140192,18.34207535,2.410761356,7.94466114,0.744291186,2.561409473,0.125423104,0.193567157,0.88311249,0.357322216,0.398629248,0.118817829,0.281542152
0.95,0.298708558,0.335910678,0.18288064,1.202603698,0.764867187,1.083880067,3.217662573,1.633068442,4.988802433,2.137600422,3.849312544,7.902721405,3.379502535,9.089295387,4.643630028,12.1563673,9.085256577,25.00353432,13.26926994,21.79842377,43.16059875,24.22200775,54.9715271,20.34817505,51.65961838,10.94102859,31.72785759,2.41626215,5.475860119,17.39687729,3.950371504,11.65648746,1.491954923,5.271325111,0.471509159,1.729114175,0.088854752,0.135657683,0.654882133,0.259540558,0.277446508,0.089293189,0.209922373
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
