abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,94.68943024,41.94540405,20.69471169,92.54892731,66.99153137,84.84381104,219.5257263,97.25619507,249.5844269,95.48262024,153.6007996,348.2346191,140.2197113,362.3746948,141.377533,305.7339783,222.5671692,516.4164429,304.2342224,446.1407166,897.5982056,413.4328003,1001.850037,272.1337891,695.6156006,150.2152252,443.8150635,39.5859108,81.51083374,231.70755,48.25473404,124.3523026,17.42655754,46.81910324,7.355908394,19.89748573,1.610656738,2.528461933,11.55409145,2.501354218,3.794505358,0.528701901,1.749163032
0.05,90.14830017,40.15190506,19.87569427,88.72616577,63.84157944,81.06698608,211.3154449,93.85690308,238.863327,90.59120941,146.7156067,335.0918274,134.7985077,348.8908691,135.7724152,293.2052307,212.3184052,493.0082397,289.3282166,425.0738525,859.0945435,397.5025024,963.7481079,262.055481,668.1516113,143.6241302,419.1462097,38.07781219,78.33422089,221.9581146,46.75106812,118.8219147,17.00681305,44.83163452,7.237903118,18.99680138,1.571478724,2.479734898,10.8924408,2.406074524,3.495127439,0.523300946,1.703784585
0.1,85.68082428,38.11608124,18.9868412,84.72067261,60.92029953,77.08947754,200.5001068,89.479599,226.2317505,85.2352829,138.2216339,316.5526123,127.7691498,330.2444153,128.8229218,277.2771301,200.615097,466.7474976,273.4019775,400.7236023,809.9812622,375.921875,910.2356567,248.9932709,628.8156738,136.3032684,389.4743347,36.40205383,74.73195648,209.5901184,44.76176834,111.7248764,16.37866211,42.39939499,6.988440514,17.88585854,1.499359608,2.365944386,10.10661602,2.288131714,3.201762676,0.502181053,1.610524416
0.15,80.83560181,35.97240829,18.02303886,80.76922607,57.88606262,72.94039917,189.1959839,85.02973175,212.686142,79.52519989,129.1041565,296.8173218,120.3724213,310.4351807,121.5293198,260.592926,188.4508057,439.194519,256.7855225,375.2510071,758.4397583,353.4084167,854.0895996,235.3658752,587.7159424,128.6998749,358.3793945,34.65217209,70.97592163,196.6473541,42.67755127,104.3577042,15.72772503,39.99339676,6.729510784,16.85402298,1.423445225,2.247154951,9.297801018,2.165696859,2.900197983,0.479274184,1.509387493
0.2,75.9908905,33.85362625,17.07389832,76.81454468,55.01936722,68.84960175,178.2227173,80.85998535,199.6612396,74.03968048,120.3039093,277.8038025,113.2698517,291.3242798,114.565094,244.698761,176.9661865,412.9966431,241.0853729,351.0853882,709.2061768,332.0455627,800.3964233,222.4431763,548.680542,121.5586319,329.0967102,33.00574112,67.46608734,184.4912872,40.70975113,97.48853302,15.12266731,37.85790253,6.488190174,16.01629829,1.352375746,2.13577199,8.552991867,2.050029755,2.625721455,0.45763588,1.41297853
0.25,71.14582825,31.70327187,16.1054554,73.40343475,52.40921021,65.2276001,167.7888489,77.02249146,187.5503082,68.96117401,112.0150833,259.5727234,106.5088882,273.1122437,108.0307236,229.667572,166.225647,388.4204407,226.5132751,328.4867554,662.777771,312.0926208,749.6347046,210.3593903,512.1082764,114.9542236,301.977478,31.47784805,64.20527649,173.2238464,38.87287903,91.23480988,14.5744133,36.03017807,6.267361164,15.37065506,1.286626577,2.03160882,7.88498354,1.944341302,2.381154776,0.436371714,1.32074523
0.3,66.67288971,29.70182419,15.23085976,70.67765045,50.40751648,62.20000076,158.577301,73.74899292,177.8240204,65.41410065,105.5666656,243.4350433,100.5874252,256.9545593,102.3115005,216.5898438,156.9871063,367.2569275,214.1088409,309.1671753,623.109436,295.2483521,706.1948242,200.1454468,481.1610413,109.4283524,279.4626465,30.19262886,61.47472,163.8568573,37.34331512,86.12858582,14.1259594,34.60955811,6.088436127,14.94508934,1.232252359,1.946405888,7.341050625,1.857182026,2.18228054,0.418299198,1.242414474
0.35,61.82842255,27.54810905,14.27580166,67.71867371,48.20841599,58.96878815,149.1881409,70.84493256,167.9989014,61.98154068,99.13791656,227.0031891,94.59531403,240.396759,96.62916565,203.6128998,148.025177,346.5015869,202.2637177,290.4295349,583.7363892,278.5884399,662.6763306,190.0740967,450.6572876,104.1479492,257.8437195,28.95295334,58.85742188,154.8631592,35.86624146,81.34384918,13.69873428,33.34447479,5.912225246,14.60836983,1.177796602,1.860920072,6.835128784,1.773444772,1.995387077,0.399110615,1.161081314
0.4,56.98379517,25.37071037,13.31709671,64.95652008,46.14195633,55.8708992,140.3789673,68.3527298,158.8792572,58.95606613,93.24719238,211.4992371,88.9957428,224.7848358,91.52076721,192.0033417,140.3152771,328.3614807,192.349411,274.5091553,549.2116699,264.1077881,624.0067749,181.3521576,424.254303,99.74118805,239.8189392,27.91536331,56.68395233,147.3345032,34.6132164,77.41473389,13.3528204,32.38547134,5.761900425,14.38498211,1.130257726,1.784196615,6.427076817,1.70356524,1.850756764,0.38214457,1.092118502
0.45,52.1361618,23.19294548,12.41646767,62.34606171,44.55392456,53.15597153,131.987915,66.10719299,150.5388489,56.51263428,88.12522888,197.0916443,83.86777496,210.1846771,86.99925995,181.8858795,133.994339,313.2904968,184.7749481,262.0123901,520.3497925,252.1761169,591.1731567,174.2952423,402.6206055,96.38615417,226.1180573,27.10973549,55.02320862,141.4224396,33.59279251,74.33214569,13.07705879,31.67297554,5.624057293,14.19544983,1.085401773,1.711589098,6.103863716,1.640921831,1.737119913,0.365704149,1.027211547
0.5,47.66456223,21.20761871,11.53343487,60.02335358,43.04986572,50.70984268,124.2696838,64.02845001,143.2466888,54.38914108,83.66755676,184.44133,79.37004852,197.3741608,83.18437958,173.5748596,129.088974,301.5594788,179.4141846,252.9058685,497.756073,243.0725708,565.192627,169.0081177,386.1983337,94.14564514,216.8342285,26.57133484,53.96681595,137.3720245,32.87891769,72.22363281,12.87975121,31.19262695,5.50995636,14.03366184,1.048043966,1.650621891,5.880211353,1.59105742,1.657971501,0.352268815,0.975764155
0.55,42.81742096,19.03577232,10.50168896,56.92329025,40.72616577,47.47503662,115.113205,61.18024063,134.8621674,51.93391418,78.74423218,170.8928223,74.42723846,183.5037537,78.8334198,164.5036621,123.5419388,288.6896973,173.1647034,242.8396454,475.1785583,233.9433441,539.6127319,163.7224121,370.4907532,92.05502319,208.7857208,26.06416893,53.00011826,134.115036,32.27654266,70.51558685,12.69975471,30.73740005,5.424453259,13.90210915,1.023598552,1.610876441,5.736523628,1.561908245,1.617111325,0.345129937,0.950975657
0.6,37.97383118,16.90624809,9.402893066,51.44529343,37.06602097,42.79755402,102.8500061,55.94285202,124.0539703,48.30166626,72.72544861,156.066452,68.4841156,168.5671234,72.94662476,152.465332,114.5553284,270.1694946,161.5800781,225.9967651,447.5358887,221.827652,510.9144592,156.5359497,351.9828491,88.14283752,196.7179108,25.16568375,51.09791946,129.3771973,31.39328003,68.27783966,12.37381649,29.93235779,5.319609165,13.78476429,1.012794971,1.590792894,5.670518875,1.55787158,1.618127108,0.34645173,0.961247444
