abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,253.6785736,83.47653961,40.64427948,113.1759338,98.67987823,99.57288361,150.0696564,57.39742279,102.3254166,57.60018921,63.09617233,101.9858627,51.23419952,106.1223526,59.85047531,140.710495,121.1385651,306.0635681,143.0657043,160.598938,346.4888916,206.0657349,383.3048401,136.1703949,258.1170349,63.5872345,115.5055542,10.31692314,15.17425442,49.0093956,13.51425362,27.29524994,4.434994221,12.89714622,1.633422852,4.735289097,0.09186165,0.158537313,2.370933294,1.269678235,1.0349617,0.32754457,0.741035283
0.05,242,79.4177475,39.0172081,107.5749741,93.53069305,93.84213257,142.9984436,55.88742447,93.64966583,51.72729874,55.41106415,94.11268616,47.93237686,100.4326096,57.00754929,134.9647217,116.0917587,284.6317749,132.3807831,146.2612305,330.3438416,196.4947052,364.0968628,128.14151,244.6803284,60.15961838,109.0851822,10.05741978,14.40277481,48.04226303,13.17528343,27.01648712,4.250469208,12.70071316,1.560174108,5.049987793,0.088434123,0.150574759,2.373352051,1.277878404,1.066745758,0.340253711,0.785450101
0.1,230,75.44561005,37.26903152,103.3162231,89.06325531,89.90794373,136.8224182,55.59820557,85.94165802,45.79250717,49.14381027,86.8395462,45.43674088,94.52922058,55.22424698,134.3969574,116.3173828,273.8761292,124.8496017,138.0734406,317.2271118,193.9889526,357.7756042,124.4547806,236.2529144,58.12570572,107.1414642,9.750300407,13.92126751,46.50553131,12.69937038,26.96386147,4.085019588,12.32615662,1.514166117,5.764101028,0.087380432,0.14764145,2.313277483,1.258881927,1.069598794,0.341275573,0.781408191
0.15,217,71.30926514,35.52190781,99.8638916,85.16517639,86.22232819,131.5184174,56.31193161,78.89603424,39.57234955,42.6931839,80.98046875,44.08118439,90.70814514,54.85919571,137.1853027,119.5050049,266.2538757,118.9085236,131.966156,308.3024292,195.4997559,358.3127136,121.9375992,232.8557892,56.41386414,111.6557541,9.416718483,13.40933704,45.61606979,12.31140041,27.65273666,3.940871239,12.32736015,1.475645423,6.800816536,0.086660095,0.144904375,2.259498358,1.241678953,1.079830647,0.344709337,0.77835381
0.2,204,66.82330322,33.6901741,95.41784668,81.78954315,82.532341,127.5259857,58.16710663,73.82592773,34.12804794,37.26472473,78.10634613,43.90442657,90.17694092,56.08249283,142.0206299,124.4208984,263.8844604,115.6473389,128.8769379,305.7733459,200.6201019,367.1548157,120.4069443,235.5571442,55.39504623,122.8964539,9.105455399,12.94681358,45.72230148,12.0894165,29.15355873,3.843475342,12.76167679,1.448704362,8.026107788,0.086347573,0.142747656,2.220594883,1.229362011,1.096189499,0.351645172,0.77907294
0.25,191,62.93806839,31.8091526,94.29489899,79.10195923,80.1784668,125.1766586,61.15587997,71.82953644,30.19360542,33.49352646,78.02920532,44.86201477,93.73163605,59.20955276,148.1412659,130.4207764,265.8329163,115.2234039,129.025116,310.085968,209.4597626,382.2494507,120.011795,245.1248474,55.08240509,139.4906158,8.807282448,12.50343037,46.79711914,11.97715759,31.34347153,3.785119534,13.56645393,1.432369351,9.380887985,0.086320281,0.141280532,2.198300123,1.225790024,1.117082119,0.361524761,0.797160923
0.3,179,59.02896881,30.18044472,93.29960632,77.88830566,78.93505096,124.364357,64.4565506,75.68602753,31.13831902,34.66523743,79.48405457,46.55243683,97.85999298,62.19934845,154.1741943,136.4123077,270.2174072,116.2648849,130.9644012,316.8123779,219.5366364,398.6075745,119.9241562,256.5351257,54.92749405,157.7758331,8.485980988,12.05970383,48.52944565,11.9572401,33.94192505,3.757560968,14.60889435,1.427250147,10.72879696,0.086813092,0.140822604,2.193404198,1.231843233,1.139112115,0.373657495,0.837358654
0.35,153,50.2898407,26.47044563,93.01053619,75.53879547,76.8505249,127.8645935,76.31129456,86.96855164,35.44879532,39.50662994,90.45744324,52.93439102,113.4178467,71.7358017,177.5402222,157.9336243,294.4017029,125.2369232,142.5338135,353.3202209,251.6582489,453.1896973,126.5352783,294.1643372,57.03012085,201.5520935,8.143882751,11.63633633,54.40496063,12.39007092,40.26864624,3.801012993,17.64958191,1.467620254,13.50299168,0.090230219,0.142816901,2.21615243,1.263739467,1.173876166,0.398794681,0.982350349
0.4,153,50.2898407,26.47044563,93.01053619,75.53879547,76.8505249,127.8645935,76.31129456,86.96855164,35.44879532,39.50662994,90.45744324,52.93439102,113.4178467,71.7358017,177.5402222,157.9336243,294.4017029,125.2369232,142.5338135,353.3202209,251.6582489,453.1896973,126.5352783,294.1643372,57.03012085,201.5520935,8.143882751,11.63633633,54.40496063,12.39007092,40.26864624,3.801012993,17.64958191,1.467620254,13.50299168,0.090230219,0.142816901,2.21615243,1.263739467,1.173876166,0.398794681,0.982350349
0.45,140,46.11809921,24.78363991,92.72383118,75.49583435,77.5111084,130.906723,82.94426727,95.01506805,39.55115509,43.93061447,98.24765015,57.20714188,123.0197906,77.4644165,192.9694519,171.8023224,312.4733276,132.2283783,151.1313171,379.1763306,270.9134521,488.2356567,132.4304047,318.7632751,59.18021011,221.6895142,8.177649498,11.72568321,57.98823547,12.77773285,43.30562973,3.873266697,19.28055954,1.502078056,14.70249462,0.094249822,0.146656543,2.235361338,1.283384681,1.188672662,0.408851266,1.031509399
