abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,conv3_4,relu3_4,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,conv4_4,relu4_4,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,conv5_4,relu5_4,pool5,fc6,relu6,fc7,relu7,fc8
0,7.521883011,7.799867153,3.908761263,26.56011391,16.40468597,23.69339943,71.54413605,31.50265121,95.38754272,35.89310074,66.22235107,145.9388885,58.12619019,157.9684296,67.6864624,155.9668274,113.4529037,241.2382813,120.8900986,196.977417,410.3930054,211.4047546,476.2885132,153.6395721,349.4223938,88.22720337,226.5748138,18.28834534,40.54436874,141.2581177,32.57301712,101.3335648,12.35446453,64.18640137,3.182953119,22.68208313,0.398085296,0.600267172,2.914317369,1.075498819,1.04763484,0.328426719,0.780925453
0.05,7.225306988,7.499206543,3.764120817,25.56691933,15.75626945,22.7767849,68.76461792,30.23491287,91.35409546,34.37144852,63.38577271,139.0731812,55.4120903,150.2877502,64.13799286,147.1449432,106.5335617,227.34021,113.7267532,185.0709534,383.2589417,197.7209167,446.5994873,144.8345337,324.882782,82.00709534,203.39505,17.19671822,38.19753647,131.2210999,30.47810364,92.77646637,11.52749443,58.77183914,2.977382421,20.91481972,0.370777339,0.558974922,2.684930801,1.010525942,0.963910043,0.313028872,0.736402392
0.1,6.863101959,7.122997761,3.583870173,24.28311348,14.92852688,21.52544594,64.96011353,28.534132,86.104599,32.43756866,59.74414063,129.9684753,51.88972855,140.3430481,59.84483719,136.7006683,98.6448288,212.0026703,106.0419159,172.6517792,357.3889771,184.7662201,418.712677,137.8878784,305.3050842,77.19137573,183.6295776,16.3250885,36.30644608,122.8797836,28.82926559,85.56712341,10.81724072,53.80632019,2.811193705,19.32583237,0.349585772,0.526795983,2.511851788,0.962681353,0.899316192,0.301196843,0.701042652
0.15,6.469367981,6.712427139,3.387501001,22.89589119,14.04064941,20.18284607,60.88291168,26.72297668,80.52378845,30.38426208,55.87986374,120.3268127,48.1669426,129.8428192,55.34477615,125.791893,90.44192505,195.9845123,98.15146637,159.9664612,330.9230652,171.488327,390.5558472,130.8809509,286.9573059,72.42578888,164.3103333,15.42951393,34.36745834,114.4416733,27.1400013,78.14358521,10.08697891,48.6235733,2.638690233,17.65778923,0.328442603,0.495065719,2.343028545,0.914850533,0.835828543,0.289376915,0.666769087
0.2,6.083565712,6.311579704,3.195771217,21.55617905,13.18778419,18.91040611,56.97936249,25.00665092,75.21340179,28.43117714,52.22819519,111.228096,44.66464233,119.9291306,51.09941483,115.5614243,82.76927948,180.9434967,90.87776947,148.34552,306.1414185,159.0130768,364.2058411,124.1343765,271.2726135,68.05919647,147.7008362,14.58071613,32.54756546,106.6933594,25.55609322,71.2830658,9.403731346,43.77663803,2.472341537,16.06532669,0.308514804,0.465707272,2.191559076,0.869322896,0.779121101,0.278025776,0.635884106
0.25,5.68821764,5.900814056,2.998968124,20.20624924,12.33700848,17.64201546,53.04151535,23.29429817,69.926651,26.49900818,48.62322617,102.2238235,41.1990242,110.1387329,46.95426178,105.6198883,75.37184143,166.4259338,84.03981781,137.4709015,283.1065979,147.4468231,340.1950684,118.0228577,258.9407349,64.2057724,134.0241089,13.80507851,30.89155197,99.74615479,24.13164902,65.00091553,8.775544167,39.21604919,2.321102142,14.56715107,0.290544868,0.439309776,2.063365221,0.829466939,0.732207358,0.268317372,0.60999006
0.3,5.324836731,5.524497986,2.818994284,19.00397301,11.59247208,16.5292511,49.5089035,21.77993965,65.24060059,24.79950523,45.45530701,94.31295013,38.15483856,101.5042267,43.32909775,96.97874451,68.97124481,153.8374176,78.22148132,128.2530823,263.5708008,137.6591339,320.1722717,112.7691498,249.9654083,60.97278976,124.255249,13.13707542,29.48189545,93.92707825,22.9038887,59.67710495,8.230883598,35.23129654,2.186645269,13.23714447,0.273839802,0.415103614,1.95275569,0.793555975,0.692390144,0.259173304,0.587291121
0.35,4.928790569,5.113110065,2.621781111,17.70675278,10.79729366,15.33738232,45.76173019,20.20013237,60.32881165,23.03325844,42.16644287,86.12154388,35.00219727,92.56756592,39.61626053,88.17909241,62.48598099,141.1293335,72.47964478,119.2082062,244.4903412,128.1915283,301.1691895,107.6649628,242.9807129,57.86302185,116.695549,12.48229122,28.11780739,88.40303802,21.68021011,54.46326065,7.69591713,31.22323418,2.048523664,11.86455631,0.256129891,0.389529377,1.841029406,0.756074548,0.652138591,0.24888204,0.563712001
0.4,4.537766933,4.706130981,2.427065849,16.43618774,10.02584934,14.20030117,42.20696259,18.72687149,55.71826172,21.38010979,39.10805511,78.54172516,32.07804871,84.25902557,36.19419098,80.11927032,56.57096863,129.4625397,67.30085754,111.1388092,227.1912994,119.6457062,283.9613037,102.7758789,237.6195068,55.01866531,111.8472366,11.88648415,26.88721657,83.62011719,20.54812622,49.92515182,7.21212101,27.605793,1.914991736,10.53431892,0.238637358,0.36435619,1.73201108,0.717583239,0.613390446,0.238144845,0.540348947
0.45,4.144670963,4.299629688,2.233888626,15.1636734,9.262830734,13.07829952,38.72621536,17.31082153,51.30237198,19.80728912,36.19915771,71.39266968,29.29670525,76.36997986,33.0063858,72.68092346,51.15690613,118.8104248,62.66268921,103.9860916,211.9492188,112.1904373,268.9778748,98.31545258,233.8682404,52.52342606,109.3944092,11.37337112,25.8248806,79.55927277,19.53007126,46.17900085,6.792337894,24.49096107,1.796193957,9.338022232,0.22263895,0.340741962,1.63100934,0.679209173,0.577677131,0.227463856,0.518769801
